Género;Rango_Etario;Localidad;Situación_país;AprobaciónVázquez;CambiosUy;AprobaciónPeña;CambiosLava;Voto2014;VotoInternas;Proyección2019;PrioridadesNacional;Diputados;Senado;InterésEnPolítica;IdentificaciónIdeológica;NivelEstudios;SituaciónEconómica;Intendente;Televisión;Radio;Ponderador
Masculino;de 40 a 50;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Servicios de Salud;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Gastón Elola;Jorge Larrañaga;Me gusta mucho;Centro;Secundaria Completa;Regular;Gastón Elola;NO;No;1,288
Femenino;de 51 a 64;Otra zona rural;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Partido Colorado;Partido Colorado;Soy Indiferente;Ninguno;Gustavo Zubía;Me gusta mucho;Centro;Universitario Incompleto;Regular;José Viscazo;NO;No;0,5208
Femenino;de 51 a 64;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Carol Aviaga;Luis Lacalle Pou;Me gusta mucho;Ultra Derecha;Secundaria Completa;Regular;No lo sé;NO;No;0,5152
Masculino;de 51 a 64;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes van a la diputación;Gastón Elola;Juan Sartori;Me interesa;Centro;Secundaria Completa;Regular;Gastón Elola;SI;SI;1,1592
Femenino;de 40 a 50;Minas;Mala;Desaprueba;Seguridad Pública;Aprueba;Bajos Salarios;Partido Nacional;Partido Nacional;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Javier Umpiérrez;Julio María Sanguinetti;Me gusta;Centro;Terciario Incompleto;Mala;Daniel Ximénez;NO;No;0,506
Masculino;de 30 a 39;Varela;Mala;Desaprueba;Jubilaciones y Pensiones;Desaprueba;Falta de Empleo;Frente Amplio;No Voté;Partido Colorado;Voto principalmente a quiénes van a la diputación;Javier Umpiérrez;Jorge Larrañaga;Nada;Centro;Secundaria Incompleta;Mala;Mario García;NO;SI;3,2037
Femenino;de 30 a 39;Minas;Mala;Ni aprueba ni desaprueba;Salud;Ni aprueba ni desaprueba;Seguridad Pública;Partido Nacional;No Voté;Todavía no lo he decidido;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Luis Lacalle Pou;Algo;Ultra Derecha;Secundaria Incompleta;Mala;Daniel Ximénez;NO;SI;1,239
Masculino;de 23 a 29;Minas;Muy Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Colorado;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Ninguno;Gustavo Zubía;Me gusta mucho;Ultra Derecha;Secundaria Completa;Muy Mala;Daniel Ximénez;NO;No;0,8778
Masculino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Bajos Salarios;Frente Amplio;Partido Colorado;Cabildo Abierto;Soy Indiferente;Ernesto Cesar;Gustavo Zubía;Casi nada;Centro;Secundaria Completa;Regular;No lo sé;SI;SI;1,302
Femenino;de 40 a 50;Minas;Regular;Aprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;Frente Amplio;Partido Nacional;No lo sé;Carlos Urtiberea;Juan Sartori;Me interesa;Izquierda Dura;Secundaria Incompleta;Regular;Marcelo Rodríguez;NO;No;0,1595
Femenino;de 40 a 50;Minas;Regular;Desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Partido Colorado;Voto principalmente a quiénes van a la diputación;Gustavo Risso;Julio María Sanguinetti;Algo;Derecha Moderada;Secundaria Incompleta;Regular;José Viscazo;NO;SI;0,5115
Femenino;de 51 a 64;Minas;Buena;Aprueba;Vivienda;Desaprueba;Medio Ambiente;Frente Amplio;Partido Nacional;Frente Amplio;Soy Indiferente;Ninguno;Carolina Cosse;Me gusta mucho;Ultra Izquierda;Terciario Completo;Buena;Ninguno;NO;No;0,5152
Femenino;de 40 a 50;Minas;Muy Buena;Aprueba;Jubilaciones y Pensiones;Desaprueba;Falta de Empleo;Frente Amplio;Unidad Popular;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Ernesto Cesar;Danilo Astori;Me gusta mucho;Izquierda Dura;Secundaria Completa;Buena;Daniel Ximénez;SI;SI;0,066
Femenino;de 18 a 22;Minas;Regular;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;No Voté;No Voté;Todavía no lo he decidido;Soy Indiferente;No lo Sé;Juan Sartori;Algo;Centro Izquierda;Secundaria Incompleta;Mala;No lo sé;NO;SI;1,3806
Femenino;de 51 a 64;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Todavía no lo he decidido;Soy Indiferente;No lo Sé;Mario Bergara;Casi nada;Centro;Secundaria Completa;Buena;Mario García;SI;No;0,5152
Femenino;de 40 a 50;Varela;Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Frente Amplio;Partido Nacional;Voto principalmente a quiénes van a la diputación;Carol Aviaga;Luis Lacalle Pou;Me gusta mucho;Ultra Derecha;Secundaria Completa;Regular;Gastón Elola;SI;SI;0,1595
Femenino;de 23 a 29;Minas;Regular;Ni aprueba ni desaprueba;Educación;Desaprueba;Los Políticos;En Blanco / Anulado;Blanco / Anulado;Frente Amplio;No lo sé;Julián Mazzoni;Mario Bergara;Algo;Ultra Izquierda;Secundaria Incompleta;Regular;Daniel Ximénez;NO;No;2,6832
Femenino;de 30 a 39;Mariscala;Mala;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;No Voté;Ninguno;No lo sé;Ninguno;Juan Sartori;Nada;Ultra Derecha;Secundaria Incompleta;Regular;No lo sé;NO;No;1,239
Masculino;de 30 a 39;Minas;Regular;Ni aprueba ni desaprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;No Voté;Frente Amplio;Voto principalmente a quiénes integran la lista al senado;Carlos Urtiberea;Óscar Andrade;Algo;Izquierda Moderada;Secundaria Incompleta;Regular;Daniel Ximénez;SI;SI;3,2037
Femenino;de 51 a 64;Varela;Muy Mala;Desaprueba;Educación;Desaprueba;Los Políticos;Partido Nacional;Cabildo Abierto;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Ninguno;Julio María Sanguinetti;Me interesa;Ultra Derecha;Terciario Incompleto;Muy Mala;Mario García;NO;SI;0,2128
Masculino;de 40 a 50;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Nacional;Frente Amplio;Partido Nacional;Voto principalmente a quiénes integran la lista al senado;Alexandra Inzaurralde;Luis Lacalle Pou;Me gusta mucho;Centro Derecha;Universitario Completo;Regular;Mario García;NO;SI;0,406
Femenino;de 65 a más;Minas;Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Frente Amplio;Partido Colorado;PERI;Voto principalmente a quiénes integran la lista al senado;Gustavo Risso;Gustavo Zubía;Me interesa;Centro;Primaria Completa;Mala;No lo sé;SI;SI;1,8786
Masculino;de 51 a 64;Minas;Regular;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Frente Amplio;Partido Colorado;Partido Colorado;Voto principalmente a quiénes integran la lista al senado;Robert Bouvier;Julio María Sanguinetti;Me gusta mucho;Centro;Terciario Incompleto;Buena;Gastón Elola;NO;SI;1,1718
Femenino;de 18 a 22;Minas;Muy Mala;Desaprueba;Empleo;Ni aprueba ni desaprueba;Falta de Empleo;No Voté;Frente Amplio;Partido Nacional;Soy Indiferente;Alexandra Inzaurralde;Luis Lacalle Pou;Algo;Izquierda Dura;Secundaria Completa;Mala;Mario García;NO;No;0,2262
Femenino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Empleo;Desaprueba;Falta de Empleo;Partido Nacional;No Voté;Partido Independiente;Solo me interesa elegir al candidato a Presidente;Ernesto Cesar;Daniel Martínez;Algo;Derecha Moderada;Secundaria Incompleta;Regular;Mario García;SI;SI;0,9735
Masculino;de 51 a 64;Minas;Buena;Aprueba;Jubilaciones y Pensiones;Desaprueba;Servicios Públicos;Frente Amplio;No Voté;Frente Amplio;Voto principalmente a quiénes integran la lista al senado;Julián Mazzoni;Constanza Moreira;Me gusta mucho;Izquierda Dura;Secundaria Completa;Buena;Daniel Ximénez;SI;SI;2,2302
Masculino;de 51 a 64;Minas;Muy Mala;Desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Frente Amplio;No Voté;Cabildo Abierto;Solo me interesa elegir al candidato a Presidente;Robert Bouvier;Julio María Sanguinetti;Me gusta;Izquierda Moderada;Primaria Completa;Regular;Tomás Casas;SI;SI;2,2302
Femenino;de 40 a 50;Pirarajá;Regular;Ni aprueba ni desaprueba;Empleo;Desaprueba;Falta de Empleo;En Blanco / Anulado;No Voté;Todavía no lo he decidido;No lo sé;Alexandra Inzaurralde;José Mujica;Poco;Izquierda Moderada;Terciario Completo;Regular;Mario García;NO;SI;0,9735
Femenino;de 65 a más;Minas;Buena;Aprueba;Educación;Desaprueba;Falta de Empleo;Frente Amplio;Partido de la Gente;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Julián Mazzoni;Mario Bergara;Me gusta mucho;Centro Izquierda;Terciario Completo;Buena;Luis Carrese;NO;No;0,9696
Femenino;de 51 a 64;Varela;Regular;Desaprueba;Educación;Aprueba;Falta de Empleo;Partido Colorado;Frente Amplio;Cabildo Abierto;No lo sé;Alexandra Inzaurralde;Gustavo Zubía;Me interesa;Centro Derecha;Secundaria Incompleta;Mala;Mario García;SI;No;0,1624
Masculino;de 30 a 39;Minas;Muy Mala;Desaprueba;Empleo;Desaprueba;Falta de Empleo;No Voté;No Voté;Ninguno;No lo sé;Ninguno;No lo sé;Nada;Ultra Izquierda;Primaria Completa;Regular;Ninguno;SI;SI;3,2037
Femenino;de 30 a 39;Varela;Buena;Aprueba;Educación;Desaprueba;Los Políticos;Frente Amplio;No Voté;Frente Amplio;No lo sé;Julián Mazzoni;José Mujica;Me interesa;Izquierda Moderada;Terciario Completo;Buena;Daniel Ximénez;NO;No;1,239
Femenino;de 40 a 50;Minas;Mala;Ni aprueba ni desaprueba;Seguridad Pública;Desaprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Colorado;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Ernesto Talvi;Me interesa;Derecha Moderada;Secundaria Completa;Buena;Mario García;NO;SI;0,506
Masculino;de 51 a 64;Batlle y Ordóñez;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Aprueba;Falta de Empleo;Partido Nacional;Frente Amplio;Partido Nacional;Voto principalmente a quiénes van a la diputación;Carol Aviaga;Gustavo Zubía;Algo;Derecha Moderada;Secundaria Incompleta;Regular;Mario García;NO;SI;0,3654
Femenino;de 40 a 50;Minas;Muy Mala;Desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Seguridad Pública;Frente Amplio;Partido Nacional;Todavía no lo he decidido;No lo sé;Gustavo Risso;Gustavo Salle;Me interesa;Centro;Secundaria Completa;Regular;Marcelo Rodríguez;NO;No;0,506
Femenino;de 51 a 64;Minas;Buena;Aprueba;Empleo;Desaprueba;Falta de Empleo;Frente Amplio;Blanco / Anulado;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Julián Mazzoni;Óscar Andrade;Me gusta;Izquierda Dura;Secundaria Completa;Buena;Daniel Ximénez;NO;SI;1,9264
Masculino;de 65 a más;Minas;Regular;Desaprueba;Educación;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Luis Lacalle Pou;Me gusta;Derecha Dura;Terciario Completo;Buena;Luis Carrese;SI;SI;2,1804
Masculino;de 30 a 39;Minas;Regular;Ni aprueba ni desaprueba;Educación;Aprueba;Seguridad Pública;No Voté;No Voté;Todavía no lo he decidido;No lo sé;Ninguno;Ernesto Talvi;Nada;Ultra Derecha;Terciario Incompleto;Buena;Daniel Ximénez;SI;SI;3,2037
Femenino;de 18 a 22;Minas;Muy Mala;No lo sé;Seguridad Pública;Desaprueba;Falta de Empleo;No Voté;Partido Colorado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Julio María Sanguinetti;Algo;Derecha Moderada;Secundaria Incompleta;Mala;Mario García;SI;No;0,7254
Femenino;de 51 a 64;Varela;Muy Mala;Desaprueba;Empleo;Desaprueba;Servicios Públicos;Partido Nacional;Frente Amplio;Partido Nacional;Soy Indiferente;Alexandra Inzaurralde;Jorge Larrañaga;Me gusta;Centro;Secundaria Completa;Regular;Daniel Ximénez;NO;SI;0,1624
Femenino;de 23 a 29;Minas;Muy Mala;Desaprueba;Educación;Aprueba;Falta de Empleo;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Luis Lacalle Pou;Me gusta mucho;Ultra Derecha;Terciario Completo;Regular;Mario García;SI;SI;0,7176
Femenino;de 40 a 50;Varela;Muy Mala;Desaprueba;Empleo;Aprueba;Seguridad Pública;Partido Nacional;Partido Nacional;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Jorge Larrañaga;Me gusta mucho;Centro;Secundaria Completa;Muy Mala;Mario García;NO;SI;0,506
Masculino;de 51 a 64;Minas;Muy Mala;Desaprueba;Jubilaciones y Pensiones;Ni aprueba ni desaprueba;Seguridad Pública;Partido Nacional;No Voté;Partido Nacional;Solo me interesa elegir al candidato a Presidente;Alexandra Inzaurralde;Juan Sartori;Algo;Ultra Derecha;Primaria Completa;Regular;Gastón Elola;SI;SI;2,2302
Femenino;de 40 a 50;Minas;Regular;Ni aprueba ni desaprueba;Seguridad Pública;Ni aprueba ni desaprueba;Falta de Empleo;Partido Colorado;Partido Colorado;Frente Amplio;Solo me interesa elegir al candidato a Presidente;Julián Mazzoni;Daniel Martínez;Algo;Izquierda Moderada;Terciario Completo;Regular;Mario García;NO;No;0,5115
Masculino;de 30 a 39;Batlle y Ordóñez;Mala;Desaprueba;Salud;Ni aprueba ni desaprueba;Falta de Empleo;En Blanco / Anulado;No Voté;Ninguno;No lo sé;No lo Sé;Juan Sartori;Nada;Ultra Izquierda;Secundaria Incompleta;Regular;Ninguno;NO;No;3,2037
Femenino;de 51 a 64;Otra zona rural;Mala;Desaprueba;Educación;Aprueba;Falta de Empleo;Frente Amplio;Partido Colorado;Partido Colorado;Solo me interesa elegir al candidato a Presidente;Carol Aviaga;Gustavo Zubía;Me gusta mucho;Centro;Terciario Completo;Buena;Luis Carrese;NO;No;0,5208
Femenino;de 51 a 64;Minas;Mala;Ni aprueba ni desaprueba;Empleo;Ni aprueba ni desaprueba;Bajos Salarios;Partido Independiente;Partido Nacional;Partido Independiente;Voto principalmente a quiénes van a la diputación;Alexandra Inzaurralde;Jorge Larrañaga;Me interesa;Centro;Secundaria Completa;Mala;Mario García;NO;No;0,5152
